DATE,GFDEGDQ188S
2013-01-01,100.73997
2013-04-01,100.05758
2013-07-01,98.72797
2013-10-01,99.79118
2014-01-01,102.34617
2014-04-01,100.6513
2014-07-01,100.11145
2014-10-01,101.2805
2015-01-01,100.49009
2015-04-01,99.30094
2015-07-01,98.63595
2015-10-01,102.64192
2016-01-01,103.98904
2016-04-01,103.58005
2016-07-01,103.60355
2016-10-01,104.64891
2017-01-01,102.93741
2017-04-01,102.08817
2017-07-01,102.80463
2017-10-01,102.27408
2018-01-01,103.74395
2018-04-01,102.98411
2018-07-01,103.4489
2018-10-01,105.04941
2019-01-01,104.34017
2019-04-01,102.92245
2019-07-01,104.61492
2019-10-01,105.78193
2020-01-01,106.88595
2020-04-01,132.8149
2020-07-01,124.26077
2020-10-01,125.73334
2021-01-01,124.16837
