DATE,CPIAUCSL_PC1
2017-01-01,2.51039
2017-02-01,2.81036
2017-03-01,2.44120
2017-04-01,2.17622
2017-05-01,1.85634
2017-06-01,1.64057
2017-07-01,1.72511
2017-08-01,1.92812
2017-09-01,2.18057
2017-10-01,2.02076
2017-11-01,2.17249
2017-12-01,2.12993
2018-01-01,2.15132
2018-02-01,2.26347
2018-03-01,2.33095
2018-04-01,2.47100
2018-05-01,2.78192
2018-06-01,2.80755
2018-07-01,2.85412
2018-08-01,2.64292
2018-09-01,2.33206
2018-10-01,2.49203
2018-11-01,2.14733
2018-12-01,2.00238
2019-01-01,1.48759
2019-02-01,1.51886
2019-03-01,1.88319
2019-04-01,2.00058
2019-05-01,1.79591
2019-06-01,1.67119
2019-07-01,1.82633
2019-08-01,1.73764
2019-09-01,1.68450
2019-10-01,1.73397
2019-11-01,2.09229
2019-12-01,2.31953
2020-01-01,2.51226
2020-02-01,2.33974
2020-03-01,1.52314
2020-04-01,0.34988
2020-05-01,0.21622
2020-06-01,0.70177
2020-07-01,1.01876
2020-08-01,1.30060
2020-09-01,1.37308
2020-10-01,1.20317
2020-11-01,1.16954
2020-12-01,1.30495
2021-01-01,1.39510
2021-02-01,1.67293
2021-03-01,2.61863
2021-04-01,4.14874
2021-05-01,4.92636
2021-06-01,5.31509
2021-07-01,5.25758
2021-08-01,5.17531
2021-09-01,5.36101
2021-10-01,6.21904
2021-11-01,6.86253
2021-12-01,7.17658
2022-01-01,7.56977
2022-02-01,7.94892
2022-03-01,8.54743
2022-04-01,8.25186
2022-05-01,8.53300
2022-06-01,8.98974
2022-07-01,8.44982
2022-08-01,8.21881
2022-09-01,8.19827
2022-10-01,7.75194
2022-11-01,7.11947
2022-12-01,6.41150
2023-01-01,6.36212
2023-02-01,5.96552
2023-03-01,4.93509
2023-04-01,4.94106
2023-05-01,4.12069
2023-06-01,3.05326
2023-07-01,3.27178
2023-08-01,3.71872
2023-09-01,3.69406
2023-10-01,3.24579
2023-11-01,3.13948
2023-12-01,3.32316
2024-01-01,3.10598
2024-02-01,3.16574
2024-03-01,3.47513
2024-04-01,3.35773
2024-05-01,3.25021
2024-06-01,2.97563
2024-07-01,2.92357
2024-08-01,2.59123
2024-09-01,2.40751
