DATE,A939RX0Q048SBEA
2017-01-01,59494.0
2017-04-01,59736.0
2017-07-01,60099.0
2017-10-01,60674.0
2018-01-01,61093.0
2018-04-01,61336.0
2018-07-01,61622.0
2018-10-01,61619.0
2019-01-01,61939.0
2019-04-01,62385.0
2019-07-01,63022.0
2019-10-01,63360.0
2020-01-01,62416.0
2020-04-01,57449.0
2020-07-01,61915.0
2020-10-01,62554.0
2021-01-01,63428.0
2021-04-01,64392.0
2021-07-01,64877.0
2021-10-01,65986.0
2022-01-01,65779.0
2022-04-01,65760.0
2022-07-01,66115.0
2022-10-01,66575.0
2023-01-01,66967.0
2023-04-01,67295.0
2023-07-01,67916.0
2023-10-01,68351.0
2024-01-01,68549.0
2024-04-01,68977.0
2024-07-01,69357.0
